date,code,close
2021-01-31,ADA,0.34475
2021-02-28,ADA,1.31203
2021-03-31,ADA,1.19191
2021-04-30,ADA,1.3532
2021-05-31,ADA,1.7373
2021-06-30,ADA,1.3853
2021-07-31,ADA,1.3193
2021-08-31,ADA,2.767
2021-09-30,ADA,2.115
2021-10-31,ADA,1.964
2021-11-30,ADA,1.554
2021-12-31,ADA,1.308
2022-01-27,ADA,1.056
2021-01-31,BCH,399.3
2021-02-28,BCH,460.12
2021-03-31,BCH,541.06
2021-04-30,BCH,995.51
2021-05-31,BCH,702.46
2021-06-30,BCH,526.8
2021-07-31,BCH,545.98
2021-08-31,BCH,636.6
2021-09-30,BCH,502.6
2021-10-31,BCH,596.9
2021-11-30,BCH,570.4
2021-12-31,BCH,430.2
2022-01-27,BCH,289.9
2021-01-31,BNB,44.3292
2021-02-28,BNB,210.2138
2021-03-31,BNB,302.3724
2021-04-30,BNB,622.65
2021-05-31,BNB,353.33
2021-06-30,BNB,303.71
2021-07-31,BNB,332.38
2021-08-31,BNB,463.9
2021-09-30,BNB,387.5
2021-10-31,BNB,524.6
2021-11-30,BNB,622.5
2021-12-31,BNB,511.4
2022-01-27,BNB,367.8
2021-01-31,BTC,33092.98
2021-02-28,BTC,45135.66
2021-03-31,BTC,58740.55
2021-04-30,BTC,57694.27
2021-05-31,BTC,37253.81
2021-06-30,BTC,35045.0
2021-07-31,BTC,41461.83
2021-08-31,BTC,47100.89
2021-09-30,BTC,43824.1
2021-10-31,BTC,61299.8
2021-11-30,BTC,56950.56
2021-12-31,BTC,46216.93
2022-01-27,BTC,36303.32
2021-01-31,BUSD,0.9992
2021-02-28,BUSD,0.9982
2021-03-31,BUSD,0.9997
2021-04-30,BUSD,0.999
2021-05-31,BUSD,0.9997
2021-06-30,BUSD,0.9998
2021-07-31,BUSD,0.9994
2021-08-31,BUSD,0.9997
2021-09-30,BUSD,0.9999
2021-10-31,BUSD,0.9993
2021-11-30,BUSD,0.9993
2021-12-31,BUSD,1.0
2022-01-27,BUSD,0.9997
2021-01-31,DASH,102.42
2021-02-28,DASH,196.77
2021-03-31,DASH,222.44
2021-04-30,DASH,319.62
2021-05-31,DASH,197.42
2021-06-30,DASH,145.62
2021-07-31,DASH,163.77
2021-08-31,DASH,223.7
2021-09-30,DASH,166.0
2021-10-31,DASH,192.7
2021-11-30,DASH,180.0
2021-12-31,DASH,133.6
2022-01-27,DASH,89.5
2021-01-31,DOGE,0.037
2021-02-28,DOGE,0.0481582
2021-03-31,DOGE,0.0537699
2021-04-30,DOGE,0.33746
2021-05-31,DOGE,0.32557
2021-06-30,DOGE,0.25391
2021-07-31,DOGE,0.20765
2021-08-31,DOGE,0.2781
2021-09-30,DOGE,0.2042
2021-10-31,DOGE,0.28
2021-11-30,DOGE,0.2147
2021-12-31,DOGE,0.1703
2022-01-27,DOGE,0.1402
2021-01-31,DOT,16.1128
2021-02-28,DOT,33.8
2021-03-31,DOT,37.0765
2021-04-30,DOT,36.522
2021-05-31,DOT,23.264
2021-06-30,DOT,16.402
2021-07-31,DOT,16.784
2021-08-31,DOT,31.35
2021-09-30,DOT,28.62
2021-10-31,DOT,42.77
2021-11-30,DOT,37.95
2021-12-31,DOT,26.66
2022-01-27,DOT,17.87
2021-01-31,ETH,1312.55
2021-02-28,ETH,1419.18
2021-03-31,ETH,1919.37
2021-04-30,ETH,2772.42
2021-05-31,ETH,2706.15
2021-06-30,ETH,2275.68
2021-07-31,ETH,2531.05
2021-08-31,ETH,3429.2
2021-09-30,ETH,3000.61
2021-10-31,ETH,4287.21
2021-11-30,ETH,4630.26
2021-12-31,ETH,3676.23
2022-01-27,ETH,2425.18
2021-01-31,FIL,22.2488
2021-02-28,FIL,35.9652
2021-03-31,FIL,190.8556
2021-04-30,FIL,163.92
2021-05-31,FIL,72.52
2021-06-30,FIL,60.4
2021-07-31,FIL,52.02
2021-08-31,FIL,75.97
2021-09-30,FIL,60.04
2021-10-31,FIL,64.4
2021-11-30,FIL,53.73
2021-12-31,FIL,34.24
2022-01-27,FIL,18.34
2021-01-31,LINK,22.5613
2021-02-28,LINK,24.7016
2021-03-31,LINK,29.4167
2021-04-30,LINK,38.1
2021-05-31,LINK,32.098
2021-06-30,LINK,19.516
2021-07-31,LINK,22.713
2021-08-31,LINK,26.7
2021-09-30,LINK,24.0
2021-10-31,LINK,30.0
2021-11-30,LINK,25.31
2021-12-31,LINK,19.51
2022-01-27,LINK,15.38
2021-01-31,LTC,129.36
2021-02-28,LTC,165.22
2021-03-31,LTC,196.7
2021-04-30,LTC,271.13
2021-05-31,LTC,187.97
2021-06-30,LTC,144.26
2021-07-31,LTC,144.37
2021-08-31,LTC,171.5
2021-09-30,LTC,153.3
2021-10-31,LTC,191.9
2021-11-30,LTC,207.8
2021-12-31,LTC,146.3
2022-01-27,LTC,107.8
2021-01-31,LUNA,1.458
2021-02-28,LUNA,5.3531
2021-03-31,LUNA,18.6631
2021-04-30,LUNA,16.689
2021-05-31,LUNA,6.546
2021-06-30,LUNA,6.565
2021-07-31,LUNA,10.735
2021-08-31,LUNA,31.57
2021-09-30,LUNA,38.83
2021-10-31,LUNA,42.89
2021-11-30,LUNA,59.59
2021-12-31,LUNA,85.46
2022-01-27,LUNA,64.58
2021-01-31,MATIC,0.03831
2021-02-28,MATIC,0.2329
2021-03-31,MATIC,0.35995
2021-04-30,MATIC,0.82066
2021-05-31,MATIC,1.87126
2021-06-30,MATIC,1.16878
2021-07-31,MATIC,1.08246
2021-08-31,MATIC,1.336
2021-09-30,MATIC,1.128
2021-10-31,MATIC,1.939
2021-11-30,MATIC,1.785
2021-12-31,MATIC,2.524
2022-01-27,MATIC,1.487
2021-01-31,OMG,3.5237
2021-02-28,OMG,4.2648
2021-03-31,OMG,7.9015
2021-04-30,OMG,7.7497
2021-05-31,OMG,6.5988
2021-06-30,OMG,4.3747
2021-07-31,OMG,4.4565
2021-08-31,OMG,6.325
2021-09-30,OMG,12.471
2021-10-31,OMG,13.411
2021-11-30,OMG,8.638
2021-12-31,OMG,5.867
2022-01-27,OMG,4.064
2021-06-30,SHIB,8.82e-06
2021-07-31,SHIB,6.25e-06
2021-08-31,SHIB,6.86e-06
2021-09-30,SHIB,7.2e-06
2021-10-31,SHIB,6.697e-05
2021-11-30,SHIB,4.744e-05
2021-12-31,SHIB,3.337e-05
2022-01-27,SHIB,2.118e-05
2021-01-31,SOL,4.2525
2021-02-28,SOL,13.0887
2021-03-31,SOL,19.3861
2021-04-30,SOL,42.786
2021-05-31,SOL,32.75
2021-06-30,SOL,35.51
2021-07-31,SOL,36.744
2021-08-31,SOL,108.27
2021-09-30,SOL,141.37
2021-10-31,SOL,202.49
2021-11-30,SOL,208.53
2021-12-31,SOL,169.99
2022-01-27,SOL,90.6
2021-01-31,UNI,17.7246
2021-02-28,UNI,22.2098
2021-03-31,UNI,28.0316
2021-04-30,UNI,40.624
2021-05-31,UNI,28.239
2021-06-30,UNI,19.278
2021-07-31,UNI,21.767
2021-08-31,UNI,29.38
2021-09-30,UNI,23.53
